XYDATA,128_03,32_01,32_02,32_03,64_01,64_02,64_03,128_01,128_02,4_02,4_03,8_01,8_02,8_03,16_01,16_02,16_03,0.2_03,1_01,1_02,1_03,2_01,2_02,2_03,4_01,0.2_02,0.2_01,0.1_03,0.1_02,0.1_01
3256.1099,503.198,494.668,495.145,499.061,498.09,501.031,496.092,504.98,500.525,498.077,493.086,498.204,496.84,497.276,495.045,498.733,497.81,498.275,497.525,496.603,496.876,496.287,495.817,494.69,497.401,495.91,495.981,495.62,496.77,497.51
3257.1099,503.269,494.561,494.122,499.115,497.943,503.241,498.758,504.186,502.257,497.997,493.793,497.035,495.68,497.555,494.997,495.56,497.766,496.093,497.82,496.878,494.748,497.056,496.171,497.572,496.924,495.394,495.37,492.889,496.394,497.401
3258.1099,505.909,495.404,496.484,494.934,497.646,503.334,498.578,501.718,503.172,497.733,496.457,493.389,493.672,497.735,495.085,493.149,495.366,494.213,495.596,495.408,494.105,496.917,497.409,500.405,496.755,494.869,494.5,494.694,495.351,496.592
3259.1099,505.73,496.422,497.415,492.582,498.749,501.467,497.702,501.291,503.798,495.977,498.926,493.228,494.314,497.05,496.139,493.38,494.641,494.456,494.211,495.339,493.876,497.384,496.904,499.365,497.404,495.462,493.657,496.418,493.749,496.857
3260.1099,502.225,497.259,495.809,494.547,500.445,498.981,497.508,503.161,504.409,494.276,499.949,496.828,497.103,496.044,497.744,495.966,496.21,496.481,495.063,496.834,494.111,498.422,494.556,496.149,498.099,496.518,493.938,495.816,493.098,498.226
3261.1099,501.198,498.084,495.729,497.986,499.386,498.057,497.499,503.322,504.439,496.884,499.762,497.41,497.07,496.625,497.953,497.49,496.331,497.732,496.623,496.39,496.24,498.066,493.396,498.008,497.039,495.557,496.912,494.8,495.821,498.581
3262.1099,502.984,498.007,497.486,499.997,497.504,498.496,497.993,502.008,503.511,499.996,499.005,495.511,496.491,497.993,497.007,497.468,495.502,497.506,497.499,495.004,498.492,497.991,494.485,500.507,496.491,494.497,499.497,494.005,498.497,497.511
3263.1099,504.911,496.324,499.192,498.966,498.456,498.945,499.445,501.719,501.776,497.804,498.163,495.014,499.416,498.206,496.118,498.059,495.845,496.341,496.792,495.257,498.195,500.329,496.96,496.188,499.182,496.355,497.838,493.501,496.642,495.995
3264.1099,505.438,495.565,499.294,497.96,500.472,498.942,500.756,503.866,501.004,495.155,496.363,495.751,499.975,497.092,495.252,498.477,495.831,495.299,494.934,495.361,496.549,500.5,497.06,492.811,500.277,498.294,495.676,494.484,494.929,496.465
3265.1099,504.049,496.922,497.676,498.763,501.254,498.391,500.887,507.157,502.163,496.261,494.143,496.691,495.936,495.845,494.524,497.408,494.722,495.395,493.183,494.661,495.646,496.555,494.133,495.531,497.289,498.004,495.819,496.624,496.204,498.99
